Experiment,Specification,Model,Serial Number,Size of Train Set,R^2 Score,MAE Score
01b Control Experiment under Target Shuffling,,OHE,9.0,4033.0,-0.11844360455844585,0.2530309062643664
01b Control Experiment under Target Shuffling,,OHE,0.0,4033.0,-0.10172459904071984,0.25203879314316946
01c Control Experiment without consideration of base,,BERT,1.0,501.0,0.6455565321714449,0.12152640349863005
01c Control Experiment without consideration of base,,BERT,2.0,507.0,0.5844977254031826,0.13794355822161364
01c Control Experiment without consideration of base,,BERT,3.0,497.0,0.6053709182837893,0.13364708799222308
01c Control Experiment without consideration of base,,BERT,4.0,500.0,0.6138134641434005,0.1330324749686901
01c Control Experiment without consideration of base,,BERT,5.0,517.0,0.5776523567817253,0.1375459938161507
01c Control Experiment without consideration of base,,BERT,6.0,519.0,0.6823739528786334,0.124111876196749
01c Control Experiment without consideration of base,,BERT,7.0,517.0,0.7201619087490395,0.11174275855652854
01c Control Experiment without consideration of base,,BERT,8.0,507.0,0.5623131296360004,0.13597304377215294
01c Control Experiment without consideration of base,,BERT,9.0,520.0,0.6668642581247465,0.12075967724905252
01c Control Experiment without consideration of base,,BERT,0.0,509.0,0.6165534335434808,0.12775499609119767
01c Control Experiment without consideration of base,,MFF,1.0,501.0,0.7908169679508095,0.0934373670092466
01c Control Experiment without consideration of base,,MFF,2.0,507.0,0.7593760312810693,0.10110009658943664
01c Control Experiment without consideration of base,,MFF,3.0,497.0,0.7902826855439529,0.0973271644884369
01c Control Experiment without consideration of base,,MFF,4.0,500.0,0.8004365282496694,0.09012978438954546
01c Control Experiment without consideration of base,,MFF,5.0,517.0,0.7799515670002117,0.09130998761521814
01c Control Experiment without consideration of base,,MFF,6.0,519.0,0.7897961691510367,0.097199337401146
01c Control Experiment without consideration of base,,MFF,7.0,517.0,0.7846795524116625,0.09601967249461636
01c Control Experiment without consideration of base,,MFF,8.0,507.0,0.7281765893234277,0.10146732405641344
01c Control Experiment without consideration of base,,MFF,9.0,520.0,0.8131514514592343,0.08826755705925
01c Control Experiment without consideration of base,,MFF,0.0,509.0,0.7801767775574583,0.0994028288243399
01c Control Experiment without consideration of base,,OHE,1.0,501.0,0.7083752417443525,0.1117890715812622
01c Control Experiment without consideration of base,,OHE,2.0,507.0,0.7452214100624983,0.1032005355664738
01c Control Experiment without consideration of base,,OHE,3.0,497.0,0.7204848257848004,0.11265438888175852
01c Control Experiment without consideration of base,,OHE,4.0,500.0,0.668676613231469,0.11145192450443182
01c Control Experiment without consideration of base,,OHE,5.0,517.0,0.7191585778179491,0.10537015254447564
01c Control Experiment without consideration of base,,OHE,6.0,519.0,0.6877779284187222,0.121407896409275
01c Control Experiment without consideration of base,,OHE,7.0,517.0,0.7967203639174039,0.09832819582945984
01c Control Experiment without consideration of base,,OHE,8.0,507.0,0.6649597552250539,0.1132399252091046
01c Control Experiment without consideration of base,,OHE,9.0,520.0,0.7714921500672249,0.0981524533495179
01c Control Experiment without consideration of base,,OHE,0.0,509.0,0.7387253221741881,0.11174879650825996
01c Control Experiment without consideration of ligand,,BERT,1.0,333.0,0.753310804569006,0.09253521573095258
01c Control Experiment without consideration of ligand,,BERT,2.0,333.0,0.5716789375192587,0.11689442347134828
01c Control Experiment without consideration of ligand,,BERT,3.0,339.0,0.6052646725846874,0.12413171227726902
01c Control Experiment without consideration of ligand,,BERT,4.0,330.0,0.7278624707915597,0.09793407203700004
01c Control Experiment without consideration of ligand,,BERT,5.0,332.0,0.7126914071772414,0.10235750803617144
01c Control Experiment without consideration of ligand,,BERT,6.0,342.0,0.8003283992457031,0.07969624963137724
